seed,n,q,p,K,tau,rho,B_jml_norm,B_coil_norm,Pi_jml_norm,Pi_coil_norm,Gamma_jml_norm,Gamma_coil_norm,jml_time,coil_time,cvx_optimal,loss,niter
50,300,100,2,2,0.2,0.5,1486.6299538823614,3.017541001885787,1025.1197287596995,21.49298987264486,20.161549773434782,20.161791832710037,19895.163708331995,1108.3309183083475,optimal,14341.86776327489,38
51,300,100,2,2,0.2,0.5,1284.7010163835694,3.4543685054190436,817.2269387534825,20.903078265304885,19.760004834319574,20.39228361171895,12271.35463647265,1194.418634681031,optimal,14503.351808647965,29
52,300,100,2,2,0.2,0.5,1419.4490778520367,2.2191964615148607,1028.6246550130254,20.142958156089353,22.18959272932652,22.19131901739672,18958.069298909046,1102.9343223180622,optimal,14102.652289730779,31
53,300,100,2,2,0.2,0.5,1310.9773845066022,2.274788527438771,951.1661947713842,20.922820160447916,20.25859390149786,20.258711865705685,16109.491994292475,777.1220343392342,optimal,14480.115901760433,27
54,300,100,2,2,0.2,0.5,1479.712553755196,3.436321898149795,1026.936104900865,21.115177999787356,19.84617274405258,19.84342508067666,4799.026536357589,1123.485368409194,optimal,14678.179373268298,34
55,300,100,2,2,0.2,0.5,4815.10640995809,2.922157812892968,1583.4960791782812,20.982527271060828,20.82951682084233,20.97498272937677,11281.155392996967,1196.1971060913056,optimal,14377.957194455958,88
56,300,100,2,2,0.2,0.5,913.2170274317892,2.8290524994826804,1187.3330434828931,21.072935600248286,20.83351573962743,20.83389345665183,25598.7020703936,884.8618007218465,optimal,14154.479747344136,64
57,300,100,2,2,0.2,0.5,2705.1344451875707,2.1069236736375587,1180.353674782336,20.87187660223335,21.359226062638907,21.35921880751212,15409.2901352169,1024.3246315596625,optimal,14087.62387759912,53
58,300,100,2,2,0.2,0.5,1169.3449715887625,2.9777962327799816,780.3677948757776,20.561808722726628,21.27957037428044,21.60481620116341,9237.39062842261,1160.076346391812,optimal,14231.604335064756,31
59,300,100,2,2,0.2,0.5,1759.0411411771577,2.6634729374801793,1164.9544153436707,19.97812994094209,24.23846685194095,24.238662552009067,16816.782673180103,1163.5657621789724,optimal,13434.472338700783,45
