seed,n,q,p,K,tau,rho,B_jml_norm,B_coil_norm,Pi_jml_norm,Pi_coil_norm,Gamma_jml_norm,Gamma_coil_norm,jml_time,coil_time,cvx_optimal,loss,niter
27,300,100,2,2,0.2,0.5,1599.9500276109454,2.697105952748832,1405.4815418976807,20.89122199450085,20.707384584537817,20.707806413244615,15004.325280692428,1212.6764257280156,optimal,14646.939851635267,41
28,300,100,2,2,0.2,0.5,3211.135840241959,3.2005327180584047,1285.2601846315658,21.051198684646273,21.428615410826623,21.4008739795599,14026.60591730941,1459.093486408703,optimal,14404.151858293397,37
29,300,100,2,2,0.2,0.5,4538.945787687802,3.862304539485785,1537.0135545434584,21.418336101983922,19.143535546970845,20.163921428378174,9367.48083489947,1057.7553214645013,optimal,14726.835449506681,101
30,300,100,2,2,0.2,0.5,1586.5676673688029,2.337699241146241,1037.9138241503179,20.433635830622734,21.678864578078578,21.678940384354927,17851.41506350413,942.3498259568587,optimal,14250.218063458531,47
31,300,100,2,2,0.2,0.5,3286.6835442206716,2.4567062323033144,1554.1031250348622,21.210213442763777,19.273826131369486,19.273635165013832,22186.067661979236,1170.7825646298006,optimal,14781.390075128624,61
32,300,100,2,2,0.2,0.5,2700.300042698179,2.710639543471314,1424.3441175210407,21.388111199577608,19.619062074858764,19.62086400626059,16015.180805807002,1172.562340944074,optimal,14687.06773359252,35
33,300,100,2,2,0.2,0.5,1266.1200359505842,2.693057761265306,874.2654203313828,20.61208727209826,21.90758575786243,21.90767855236123,16777.04695451446,1270.5067758513615,optimal,14207.726221380204,22
34,300,100,2,2,0.2,0.5,3260.5402061947552,2.6652088706117842,1465.9327222917696,21.49409863122115,19.108672298887793,19.108954516670515,11614.947358362377,1160.7431534500793,optimal,14721.267505590373,91
35,300,100,2,2,0.2,0.5,4477.748574629349,2.256282521909708,1522.7292314596918,21.10547321824634,21.19058607605187,20.828317513483295,7930.485096246004,1225.801029582508,optimal,14388.492354898775,87
36,300,100,2,2,0.2,0.5,1850.9494833335423,3.2388779986975655,979.1707867212148,20.34184917247556,22.200001660488837,22.206628845626444,10632.925187615678,1162.027300838381,optimal,14035.390065071579,42
37,300,100,2,2,0.2,0.5,3497.4785315412087,3.1531540613666182,1524.7411886367743,20.19130718414612,22.49171180231787,22.4889604752792,24461.26452243235,1307.0216452870518,optimal,14295.753557454116,57
38,300,100,2,2,0.2,0.5,716.0164783883051,2.593257560211225,630.5173703853911,19.980846095403002,22.745765541684168,22.745489730215695,22386.518735868856,902.8042640183121,optimal,14386.689679553361,13
39,300,100,2,2,0.2,0.5,1174.0862494295814,3.2172182860693566,762.686328114675,20.630495721108634,20.20929579810383,20.208293747336363,28077.75287838746,1195.4965344732627,optimal,14931.178304897203,24
40,300,100,2,2,0.2,0.5,777.2655470392106,2.995163137249101,767.0171541703704,21.71059300697489,18.779948119939654,18.782104359367132,7709.489490493201,1130.8329427437857,optimal,14833.681771794323,21
41,300,100,2,2,0.2,0.5,1166.9143915268758,2.7180982296620595,833.8122721109621,20.317700362662777,22.54906274690797,22.549087567288964,17878.51989946328,1050.6971360836178,optimal,14074.202030666727,27
42,300,100,2,2,0.2,0.5,1080.7158932646855,1.838021522217653,751.121986399172,20.56595085853065,22.2879354566074,21.55891136663235,8088.404899802059,951.9259907947853,optimal,14334.540312045458,35
43,300,100,2,2,0.2,0.5,2174.1153168399446,3.10509495990177,1273.2571485464266,20.28928282797027,22.40790620331413,22.405516204361472,11502.750106789172,1093.8285813853145,optimal,14256.834723453634,40
44,300,100,2,2,0.2,0.5,5047.999971008454,2.5073748592390284,1638.3774673677797,21.403052704981913,19.262849683500967,19.262513074269947,22357.23646161426,1209.7973423516378,optimal,14718.5515273045,49
45,300,100,2,2,0.2,0.5,1322.204904872486,2.117626190466337,961.0655506458356,20.492531854407325,22.84294203345633,22.842579016754584,23238.898138615303,1020.9232206502929,optimal,14066.326494182922,27
46,300,100,2,2,0.2,0.5,3160.026972022279,2.273727741769047,1123.9261499741976,21.02563665457783,19.395785423222076,19.395587061856688,11488.332362713292,1346.658166166395,optimal,14692.365156241878,66
47,300,100,2,2,0.2,0.5,1898.166015952653,2.7875611035776005,996.7606811800072,20.80446695662384,20.634899696972294,20.40993555594626,13049.83650512807,1253.1413597734645,optimal,14447.776626388548,78
